claim,label,language,output,correct,inconclusive
A new animal was found in Africa,false,bn,"এই বক্তব্যটি যাচাই করার জন্য নির্দিষ্ট তথ্য প্রয়োজন। যদি সাম্প্রতিক সময়ে আফ্রিকায় একটি নতুন প্রাণী আবিষ্কৃত হয়ে থাকে, তবে এটি «সত্য» হতে পারে। তবে, যদি এমন কোনো প্রমাণ না থাকে, তাহলে এটি «মিথ্যা» হতে পারে। যেহেতু আমার কাছে এই মুহূর্তে নির্দিষ্ট তথ্য নেই, তাই আমি নির্দিষ্টভাবে বলতে পারছি না।

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
Deepika Padukone wears a T-shirt in support of farmers,false,mr,"मी सध्याच्या घडामोडींची माहिती देऊ शकत नाही कारण माझ्या डेटाचा कटऑफ 2021 मध्ये आहे. त्यामुळे, मी Deepika Padukone ने शेतकऱ्यांच्या समर्थनार्थ टी-शर्ट घातला आहे की नाही हे निश्चितपणे सांगू शकत नाही. त्यामुळे, या विधानाचे सत्यता मूल्य निश्चित करणे शक्य नाही.

अंतिम उत्तर: अर्धसत्य",False,True
"In Bihar elections, BJP-JDU prepares to share alcohol bottles",half true,mr,अंतिम उत्तर: असत्य,False,True
The road found in the picture is the Varanasir of Uttar Pradesh,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
I did not have to say that I would have been on the first 1063 Asha.,half true,gu,અંતિમ જવાબ: ખોટું,False,True
"If the mask is used for longer, the person may have the possibility of death.",false,mr,अंतिम उत्तर: अर्धसत्य,False,True
"Recently, the family of late singer SP Balasubramaniam was not able to pay the hospital bill.The central government helped after the Tamil Nadu government refused.",false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए कोई विश्वसनीय स्रोत नहीं मिला है। SP Balasubramaniam के परिवार के अस्पताल बिल का भुगतान करने में कठिनाई और केंद्र सरकार द्वारा मदद के बारे में कोई प्रमाणित जानकारी उपलब्ध नहीं है। इसलिए, यह कथन असत्य प्रतीत होता है।

अंतिम उत्तर: असत्य",False,True
"On the way to the Gujarat, the padal is lying on the other hand. Romance",half true,gu,અંતિમ જવાબ: ખોટું,False,True
"How China's soldiers attack Indian soldiers, see videos",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਅੱਧਾ ਸੱਚ,False,True
It is being said with a video that Indians in Spain took out a procession in support of the construction of Ram temple.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि कोई विश्वसनीय समाचार स्रोत या आधिकारिक रिपोर्ट इस घटना की पुष्टि करती है, तो यह कथन सत्य हो सकता है। लेकिन यदि ऐसी कोई पुष्टि नहीं मिलती है, तो यह कथन असत्य हो सकता है।

अंतिम उत्तर: असत्य",False,True
Narendra Modi's picture with Chhota Rajan.,false,hi,"कथन ""Narendra Modi's picture with Chhota Rajan."" के बारे में कोई प्रमाणित जानकारी या विश्वसनीय स्रोत नहीं है जो इस कथन को सत्यापित करता हो। यह कथन अफवाह या गलत जानकारी पर आधारित हो सकता है।

अंतिम उत्तर: असत्य",False,True
"Sonia Gandhi, the then Prime Minister Manmohan Singh, was sitting in the chair at a meeting with the Sri Lankan Prime Minister.",half true,mr,अंतिम उत्तर: असत्य,False,True
Pradhani Modhi Jee is the only one who has the same thing as a hoof. Deadly,half true,gu,અંતિમ જવાબ: ખોટું,False,True
The government is going to reduce the pension of employees by 30 percent.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें विश्वसनीय स्रोतों से जानकारी की पुष्टि करनी होगी। यदि सरकार ने आधिकारिक रूप से ऐसा कोई निर्णय लिया है और इसे सार्वजनिक रूप से घोषित किया है, तो यह कथन सत्य हो सकता है। लेकिन यदि ऐसा कोई आधिकारिक निर्णय या घोषणा नहीं हुई है, तो यह कथन असत्य होगा।

चूंकि मेरे पास वर्तमान में इस कथन की पुष्टि करने के लिए कोई विश्वसनीय स्रोत नहीं है, मैं इसे सत्यापित नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
This girl present at Nagpur police station has been separated from family members.,false,hi,"इस कथन में यह कहा गया है कि ""यह लड़की जो नागपुर पुलिस स्टेशन में उपस्थित है, अपने परिवार के सदस्यों से अलग हो गई है।"" इस कथन की सत्यता का मूल्यांकन करने के लिए हमें यह जानना होगा कि क्या वास्तव में यह लड़की नागपुर पुलिस स्टेशन में है और क्या वह अपने परिवार से अलग हो गई है। 

क्योंकि हमारे पास इस कथन की पुष्टि करने के लिए कोई अतिरिक्त जानकारी नहीं है, हम इस कथन की सत्यता का सटीक मूल्यांकन नहीं कर सकते। 

अंतिम उत्तर: आधा सत्य",False,True
Prime Minister Narendra Modi could not show school children as three,false,mr,अंतिम उत्तर: असत्य,False,True
3 -year -old Mother Teresa is seen in this film,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Congress Sachin Pilot joined the BJP,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Rahul Gandhi's meeting with migrant laborers was sponsored.The woman present in the picture with Rahul Gandhi was later seen going by car.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
"Photo by Surendra Singh, an injured Indian soldier who survived the Chinese soldiers",half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
US President Donald Trump wanted to ruin Americans by making Corona virus a weapon.Thousands of people have hit the road in protest against this.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
"The image of a plane on social media is being viral.The picture is being claimed that by the cost of Prime Minister Narendra Modi, at the cost of Rs. 8,600 crore.",false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
Video of a person who is adulterated in milk in Mumbai,half true,mr,"अशा विधानाचे सत्यता मूल्यांकन करण्यासाठी पुरावे आवश्यक आहेत. जर तुम्हाला पुरावे नसतील, तर तुम्ही विधानाचे सत्यता मूल्यांकन करू शकत नाही. 

अंतिम उत्तर: अर्धसत्य",False,True
"A daughter of Hathras (Uttar Pradesh) is gang -raped, an incredible deal with the victim and finally took the last breath.",false,gu,અંતિમ જવાબ: સત્ય,False,True
Dr. at Breach Candy Hospital.Video of Sharad Udawadia about corona Video viral,false,mr,"हे विधान सत्य आहे की नाही हे निश्चित करण्यासाठी अधिक तपशीलवार माहिती आवश्यक आहे. तथापि, उपलब्ध माहितीच्या आधारे, असे दिसते की हे विधान ""असत्य"" आहे. कारण, डॉ. शरद उदवाडिया यांनी कोरोना विषाणूविषयी कोणतेही व्हिडिओ जारी केलेले नाहीत आणि त्यांचे व्हिडिओ व्हायरल झालेले नाहीत, अशी कोणतीही पुष्टीकरणात्मक माहिती उपलब्ध नाही.

अंतिम उत्तर: असत्य",False,True
"Starting at 690, barcode stickers are a Mad -in Chinese product and barcode stickers starting at 890 are Mad in India product.",half true,gu,"અંતિમ જવાબ: ખોટું

કારણ કે, બારકોડના પ્રથમ ત્રણ અંક (જેમ કે 690 અથવા 890) દેશના નિર્દેશક નથી કે તે ઉત્પાદન કયા દેશમાં બનાવવામાં આવ્યું છે. આ અંક એ દેશના કોડ છે જ્યાં બારકોડ જારી કરવામાં આવ્યો હતો, પરંતુ તે ઉત્પાદનના મૂળ દેશને દર્શાવતું નથી.",False,True
Tej Bahadur is sitting with the food.,mostly false,bn,চূড়ান্ত উত্তর: সত্য,False,True
Home Minister Amit Shah's corona infection is infected by people who are watching in the video and celebrating his body.,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
The Law of Thus Country Is Only For Flood,false,gu,અંતિમ જવાબ: ખોટું,False,True
Pictures committing violence of BJP workers in Bengal.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि यह कथन किसी विशेष घटना या समय के संदर्भ में है, तो हमें उस समय की रिपोर्ट्स, समाचार और अन्य विश्वसनीय स्रोतों की जांच करनी होगी। 

बिना किसी ठोस प्रमाण या विश्वसनीय स्रोत के, इस कथन की सत्यता का निर्धारण करना कठिन है। इसलिए, इस समय मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: आधा सत्य",False,True
"After the introduction of the new traffic law, the Union Minister Nitin Garakari is running a scooter without a helmet",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Dilip Ghosh has been the cause of the disease.,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
The fisherman was caught at Patua Marine Fisheries port in East Midnapore,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
The viral film shows 5 buses arranged to return to the house of Priyanka Gandhi's expatriate in Uttar Pradesh.,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"The woman found in this report of the report is an educator escaped with an eighth grade student in Gandhinagar, Gujarat.",mostly false,bn,"এই বক্তব্যটি যাচাই করার জন্য নির্ভরযোগ্য সূত্র থেকে তথ্য প্রয়োজন। যেহেতু আমি এই মুহূর্তে নির্দিষ্ট তথ্য যাচাই করতে পারছি না, তাই আমি এই বক্তব্যটির সত্যতা নির্ধারণ করতে পারছি না। 

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
China is trying to kill twenty thousand victims to handle the corona virus,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Bridge is ready within 24 hours of demolition in Japan.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
The use of trunks destroys corona,false,mr,अंतिम उत्तर: असत्य,False,True
India's First Animal Breedgas in Delhi-Mumbai Expressway to Protect Animals from Getting.Thanks Pum,false,gu,અંતિમ જવાબ: ખોટું,False,True
Video of procession taken out in support of Tabrez Ansari in Agra,mostly false,hi,अंतिम उत्तर: असत्य,False,True
Kanhaiya Kumar giving a speech with a map showing Kashmir part of Pakistan,false,hi,अंतिम उत्तर: असत्य,False,True
Video of the wife of Canadian Prime Minister Justin Trudeau infected with Corona virus.,half true,hi,अंतिम उत्तर: असत्य,False,True
The name of Sudani origin American model Nyakim Gatwach was recorded in the Guinness World Record for the darkest skin so far.,mostly false,hi,"अंतिम उत्तर: असत्य

Nyakim Gatwech, जो एक दक्षिण सूडानी मूल की अमेरिकी मॉडल हैं, को उनकी गहरी त्वचा के लिए जाना जाता है, लेकिन उनके नाम को Guinness World Record में ""सबसे गहरी त्वचा"" के लिए दर्ज नहीं किया गया है। यह एक आम गलतफहमी हो सकती है, लेकिन Guinness World Records में ऐसा कोई रिकॉर्ड नहीं है।",False,True
"In the picture, Facebook worker Dikhhi Das is seen cutting the national flag cake",mostly false,bn,"এই বক্তব্যটি যাচাই করার জন্য আমাদের কাছে পর্যাপ্ত তথ্য নেই। আমরা জানি না যে এই ছবিটি সত্যিই বিদ্যমান কিনা, এবং যদি বিদ্যমান থাকে, তবে সেটি সত্যিই ফেসবুক কর্মী দিখি দাসকে দেখাচ্ছে কিনা এবং তিনি সত্যিই জাতীয় পতাকার কেক কাটছেন কিনা। 

তথ্য যাচাই করার জন্য নির্ভরযোগ্য সূত্র প্রয়োজন। যেহেতু এই তথ্য যাচাই করা সম্ভব নয়, তাই আমি এই বক্তব্যটির সত্যতা নির্ধারণ করতে পারছি না।

চূড়ান্ত উত্তর: মিথ্যা",False,True
The viral video of the police lathi charge is from Delhi.,half true,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें वीडियो की वास्तविकता और स्थान की पुष्टि करनी होगी। बिना सटीक जानकारी के, हम इस कथन की सत्यता का सही-सही मूल्यांकन नहीं कर सकते। 

अंतिम उत्तर: आधा सत्य",False,True
"Pakistan's PNS 12 conflict with India's INS Tolier on the coast of Gujarat on April 23, 2021.",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
In this report of the report recently reported the thought of enacting the center of the center for spouses to pay the wife to pay.,half true,bn,"এই বক্তব্যটি অস্পষ্ট এবং বিভ্রান্তিকর। এটি স্পষ্টভাবে কোনো নির্দিষ্ট তথ্য বা ঘটনা প্রকাশ করছে না। সুতরাং, এটি যাচাই করা বা সত্যতা নির্ধারণ করা সম্ভব নয়।

চূড়ান্ত উত্তর: মিথ্যা",False,True
"Disclosing the statement of Shiromani Akali Dal to Shiromani Akali Dal leader, said the return of Sucha Singh Langah, will work for the Shiromani Akali Dal workers.",false,pa,"ਇਸ ਬਿਆਨ ਦੀ ਸਹੀ ਜਾਂ ਗਲਤ ਹੋਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਲਈ ਸਪਸ਼ਟ ਸਬੂਤਾਂ ਦੀ ਲੋੜ ਹੈ। ਬਿਆਨ ਵਿੱਚ ਕਿਹਾ ਗਿਆ ਹੈ ਕਿ Sucha Singh Langah ਦੀ ਵਾਪਸੀ Shiromani Akali Dal ਦੇ ਵਰਕਰਾਂ ਲਈ ਫਾਇਦੇਮੰਦ ਹੋਵੇਗੀ। ਇਹ ਇੱਕ ਰਾਏ ਹੈ ਅਤੇ ਇਸ ਨੂੰ ਸਹੀ ਜਾਂ ਗਲਤ ਸਾਬਤ ਕਰਨ ਲਈ ਸਪਸ਼ਟ ਤੱਥਾਂ ਦੀ ਲੋੜ ਹੈ। ਇਸ ਲਈ, ਇਸ ਬਿਆਨ ਨੂੰ ਸਹੀ ਜਾਂ ਗਲਤ ਕਹਿਣਾ ਮੁਸ਼ਕਲ ਹੈ।

ਅੰਤਿਮ ਜਵਾਬ: ਅੱਧਾ ਸੱਚ",False,True
"BJP's 4 MP, 1 MLA and 21 other leaders are going to join TMC.",false,gu,"મને આ નિવેદનના સત્યતાની પુષ્ટિ કરવા માટે કોઈ ચોક્કસ માહિતી ઉપલબ્ધ નથી. આ પ્રકારના નિવેદનો સામાન્ય રીતે સમાચારો અથવા સત્તાવાર ઘોષણાઓ દ્વારા પુષ્ટિ કરવામાં આવે છે. 

અંતિમ જવાબ: અડધું સત્ય",False,True
A picture of social media is being virtue that the picture of Dr. Bhim Rao Ambedkar and his wife are being seen as a picture of Dr. Bhimbad and honored by the bus at Colombia.Their wife's picture has been imposed.,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"In a recent incident, Muslims set fire to the French Embassy in Sudan.",half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय समाचार स्रोतों से जानकारी प्राप्त करनी होगी। यदि इस घटना के बारे में कोई विश्वसनीय समाचार स्रोतों में रिपोर्ट नहीं है, तो यह कथन असत्य माना जाएगा।

अंतिम उत्तर: असत्य",False,True
Whatever the case,half true,gu,અંતિમ જવાબ: «સત્ય»,False,True
The decorative video of the Ram Mandir Bhoomi Pujan Mandal in Ayodhya,half true,mr,अंतिम उत्तर: अर्धसत्य,False,True
Video of 55 -year -old teachers during online class,false,mr,"हे विधान सत्य किंवा असत्य आहे का हे ठरवण्यासाठी पुरेशी माहिती उपलब्ध नाही. वय, व्यवसाय आणि क्रियाकलाप याबद्दलचे तपशील दिले आहेत, परंतु या विधानाच्या सत्यतेची खात्री करण्यासाठी अधिक संदर्भ आवश्यक आहेत.

अंतिम उत्तर: अर्धसत्य",False,True
Whether it is a lockdown or not: Six months must be taken by the Indian Council of Medical Research.,half true,gu,અંતિમ જવાબ: ખોટું,False,True
"Justice S. Muralidhar was an assistant to Congress MP Manish Tiwari.In the picture, he is filling the election form of Sonia Gandhi.",mostly false,hi,अंतिम उत्तर: असत्य,False,True
"Mulayam Singh Yadav, a leader of the Samajwadi Party and former UP Chief Minister, passed away.",false,gu,અંતિમ જવાબ: સત્ય,False,True
A video look viral on the Social media.An elder behind the viral is the videos can be seen by the BJP candidate loses shoes in the neck.The video is being claimed that this video is during the Bihar Assembly elections.,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"One person has appealed that his wife and daughter Corona are infected, pray for him.",mostly false,hi,"यह कथन «असत्य» है क्योंकि इसमें यह कहा गया है कि व्यक्ति की पत्नी और बेटी ""Corona"" हैं, जो कि एक बीमारी का नाम है और किसी व्यक्ति का नाम नहीं हो सकता। सही कथन यह होगा कि व्यक्ति की पत्नी और बेटी कोरोना वायरस से संक्रमित हैं।

अंतिम उत्तर: असत्य",False,True
The video shows that the armed train is moving for the borders of India and China,half true,bn,"এই বক্তব্যটি যাচাই করার জন্য নির্ভরযোগ্য সূত্র থেকে তথ্য সংগ্রহ করা প্রয়োজন। যদি ভিডিওটি সত্যিই একটি সশস্ত্র ট্রেনকে ভারত ও চীনের সীমান্তের দিকে যেতে দেখায় এবং এটি প্রমাণিত হয়, তাহলে এটি «সত্য» হবে। অন্যদিকে, যদি ভিডিওটি ভুল তথ্য প্রদান করে বা সম্পূর্ণ মিথ্যা হয়, তাহলে এটি «মিথ্যা» হবে। 

তথ্য যাচাই না করে চূড়ান্ত উত্তর দেওয়া সম্ভব নয়। তবে, যদি আমরা ধরে নিই যে ভিডিওটি যাচাই করা হয়েছে এবং এটি সঠিক নয়, তাহলে চূড়ান্ত উত্তর হবে:

চূড়ান্ত উত্তর: মিথ্যা",False,True
Rahul Gandhi spoke of leaving the country and settling in London and teaching his children in America.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए कोई विश्वसनीय स्रोत या प्रमाण उपलब्ध नहीं है। राहुल गांधी, भारतीय राष्ट्रीय कांग्रेस के प्रमुख नेता, ने सार्वजनिक रूप से ऐसा कोई बयान नहीं दिया है जो इस कथन की पुष्टि करता हो। 

अंतिम उत्तर: असत्य",False,True
There has been a civil war in Pakistan.Firing has started between the Pakistani Army and the Karachi Police.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
Ticker's Founder Jimming said that he had formed for the ticker idle and unemployed people but they did not know that in India would not know.,false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"Video is being claimed that in the government medical college of Nagpur, doctors removed the kidney due to the authentom of the living person.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"Corona is not a virus but bacteria, which are very easy to cure.",false,gu,અંતિમ જવાબ: ખોટું,False,True
The video shows that a group of police goes to Azam's Sharif's door to get rid of Corona,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"A video on social media is viral in which some persons who have wearing a Bharatiya Janata Party (BJP) in his throat, they can be discussed dancing. The bill passed by the PresidentUpon settlement, the slopes celebrated Bhangra in Amritsar and distributed the luddon.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
The video is to turn off the corona ward in New Zealand,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
A Facebook page posted two pictures of Ganga Ghat with Priyanka Gandhi.One image is called 'Ganga during the Congress period' and another is 'Ganga during the Modi period'.,false,bn,,False,True
Video of Muslims raising communal slogans in Delhi.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें वीडियो की प्रामाणिकता, स्रोत, और संदर्भ की जांच करनी होगी। बिना इन तथ्यों की पुष्टि किए, हम किसी निष्कर्ष पर नहीं पहुँच सकते। इसलिए, इस कथन की सत्यता का निर्धारण करना संभव नहीं है।

अंतिम उत्तर: आधा सत्य",False,True
It is being said with a video of a girl singing a song that it is Alexandra Nazar who loses his life in the Berut blast.,half true,hi,अंतिम उत्तर: असत्य,False,True
Bhutan has stopped giving water to Indian farmers in Assam for irrigation.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। वर्तमान में, मेरे पास इस कथन की पुष्टि या खंडन करने के लिए आवश्यक जानकारी नहीं है। इसलिए, मैं इस कथन की सत्यता के बारे में निश्चित रूप से कुछ नहीं कह सकता।

अंतिम उत्तर: असत्य",False,True
Photo of doctors and nurses dying due to corona virus in Italy.,half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों और तथ्यों की जांच करनी होगी। COVID-19 महामारी के दौरान, कई देशों में स्वास्थ्यकर्मियों पर भारी दबाव पड़ा और कुछ मामलों में उनकी मृत्यु भी हुई। हालांकि, यह कहना कि ""फोटो"" में दिखाए गए सभी डॉक्टर और नर्सें इटली में कोरोना वायरस के कारण मरे हैं, बिना किसी ठोस प्रमाण के, गलत हो सकता है।

अंतिम उत्तर: अधिकांशतः असत्य",False,True
"Aamir Khan's colleague, Javed Haider, is the time to sell vegetables in the lackedown due to unemployment.",half true,mr,अंतिम उत्तर: अर्धसत्य,False,True
A picture of social media is being virtue that the Sunni Waqf Board has decided to build a Babuari hospital in Ayodhya and the design of the hospital.,false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
The statement that is going viral on Jammu and Kashmir is of former Prime Minister Dr. Manmohan Singh.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें यह जांचना होगा कि क्या वास्तव में जम्मू और कश्मीर के बारे में कोई बयान पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह द्वारा दिया गया है और वह बयान वायरल हो रहा है या नहीं। 

यदि हमें इस बात का कोई प्रमाण नहीं मिलता है कि डॉ. मनमोहन सिंह ने हाल ही में जम्मू और कश्मीर के बारे में कोई बयान दिया है जो वायरल हो रहा है, तो यह कथन असत्य होगा।

अंतिम उत्तर: असत्य",False,True
A woman thrown dirty water on Kejriwal.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि यह घटना वास्तव में हुई है और इसे विश्वसनीय समाचार स्रोतों द्वारा रिपोर्ट किया गया है, तो यह कथन सत्य हो सकता है। 

हालांकि, मेरे पास इस समय ताज़ा जानकारी तक पहुंच नहीं है, इसलिए मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता। 

अंतिम उत्तर: «असत्य»",False,True
"Social Media and Punjabi News Channels The Bulletin of Living India is being widely viral which is being claiming, the people from September 1 to September 30, is going to be restored to September 30 to 30.",false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"After Amitabh Bachchan was liberated in the coronation, Haji Ali went to the Dargah and made a sheet",half true,mr,अंतिम उत्तर: असत्य,False,True
Badwizer admitted that several employees have been urinating in their beer tanks over the years,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"The only thing that does not have to do with the Badwati Vidyat Vidyak, ""If this is what humans to do they do not deserve to live - the Earth May Well Swallow evenly"" """"",half true,gu,અંતિમ જવાબ: ખોટું,False,True
Mumba Malad's Bhajan Banda Kar Jehdi Aasalam Speaks!,false,gu,"મને આ નિવેદનના મૂળ અને તેની સાચી પરિસ્થિતિ વિશે કોઈ ચોક્કસ માહિતી નથી. આ નિવેદનનું મૂલ્યાંકન કરવા માટે વધુ સંદર્ભ અને માહિતીની જરૂર છે. 

અંતિમ જવાબ: અણજાણ.",False,True
Prime Minister Narendra Modi 21 -year -old drone scientist Pratap.N.M is appointed as a scientific position in DRDO.,false,mr,"हे विधान सत्य असल्याचे कोणतेही ठोस पुरावे उपलब्ध नाहीत. त्यामुळे हे विधान खोटे असल्याचे मानले जाऊ शकते.

अंतिम उत्तर: असत्य",False,True
"From Social Media and Prime Minister Narendra Modi and Sangrur, the Aam Aadmi Part Bha Bhai Bhagwant Mann is being widely seen in the Prime Minister Modi and Bhagwant Man who is being laughed. This picture is agricultural ordinanceIs after the bill is passing.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"Due to heavy rains in Mumbai, water turns around, water was flooded at Selink",false,gu,અંતિમ જવાબ: ખોટું,False,True
"Social media and famous singer and the Aam Aadmi Party leader is being shared by the picture of the price of premoline, in which the cigarette is visible in Mann Mann.",false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"See what Kangana Ranaut is saying, friends yeh jhansi ki rani kya mary chachi hai hai?",half true,gu,અંતિમ જવાબ: ખોટું,False,True
"Mahesh Bhat Sadak 2, a video of his film, has been upset over the receipt of one crore dislocation",half true,mr,अंतिम उत्तर: असत्य,False,True
Modi's poster installed in Aligarh Muslim University,false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि विश्वसनीय समाचार स्रोतों या आधिकारिक बयानों में इस घटना की पुष्टि होती है, तो यह कथन सत्य हो सकता है। 

हालांकि, मेरे पास इस समय इस विशेष घटना की पुष्टि करने के लिए ताजे समाचार स्रोतों तक पहुंच नहीं है। इसलिए, मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता।

अंतिम उत्तर: आधा सत्य",False,True
"If one's mother or sister posted her photo on DP WhatsApp, ask her to replace it right away",half true,gu,અંતિમ જવાબ: ખોટું,False,True
It was built in Japan within 24 hours.,mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
Last date for filing income tax returns increased to 30 September 2019,false,hi,"कथन 'Last date for filing income tax returns increased to 30 September 2019' के बारे में जानकारी के अनुसार, वित्तीय वर्ष 2018-19 के लिए आयकर रिटर्न दाखिल करने की अंतिम तिथि को 31 जुलाई 2019 से बढ़ाकर 31 अगस्त 2019 कर दिया गया था। हालांकि, कुछ विशेष मामलों में यह तिथि 30 सितंबर 2019 तक बढ़ाई जा सकती है, लेकिन यह सामान्य करदाताओं के लिए नहीं था।

अंतिम उत्तर: असत्य",False,True
The Lord's @narendramodi Jee is the only one who is the one who has the Lord's Rajmarg Surang 'Aatal Surang'.In order to consolidate the world of Surung Desh. Bhava Milega,false,gu,અંતિમ જવાબ: ખોટું,False,True
The child in the picture is seeking shares and prayers on Facebook for his Covid-1 affected mother,mostly false,bn,"এই বক্তব্যটি যাচাই করার জন্য আমাদের কাছে পর্যাপ্ত তথ্য নেই। এটি নির্ভর করে নির্দিষ্ট ছবির প্রেক্ষাপট এবং সত্যতা যাচাই করার উপর। যদি ছবিটি সত্যিই এমন একটি পরিস্থিতি প্রদর্শন করে যেখানে একটি শিশু তার কোভিড-১৯ আক্রান্ত মায়ের জন্য সাহায্য চাইছে, তাহলে এটি «সত্য» হতে পারে। অন্যদিকে, যদি ছবিটি ভুল তথ্য বা ভুয়া প্রেক্ষাপটের সাথে শেয়ার করা হয়, তাহলে এটি «মিথ্যা» হতে পারে।

তথ্য যাচাই করার জন্য নির্ভরযোগ্য সূত্র এবং প্রমাণ প্রয়োজন। যেহেতু এখানে নির্দিষ্ট প্রমাণ বা সূত্র নেই, তাই চূড়ান্ত উত্তর দেওয়া সম্ভব নয়।

চূড়ান্ত উত্তর: যাচাই করা সম্ভব নয়",False,True
"The person who is visible in the viral video is informed of his son's guilty.At the same time, the person is talking to the maximum share of the post.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: «ਝੂਠ»,False,True
"Poor chariots, poor chariots will be converted into an express train on the way to the closure.",half true,bn,"এই বক্তব্যটি একটি রূপক বা প্রতীকী ভাষা ব্যবহার করে তৈরি করা হয়েছে, যা বাস্তবতার সাথে সরাসরি সম্পর্কিত নয়। এটি একটি কাব্যিক বা সাহিত্যিক উক্তি হতে পারে, যা বাস্তব তথ্য বা ঘটনা নির্ভর করে না। সুতরাং, এই বক্তব্যটি সত্যতা যাচাই করার জন্য উপযুক্ত নয়।

চূড়ান্ত উত্তর: মিথ্যা",False,True
"CPM leader Sitaram Yechuri made the tweet on October 28, as Shi Jinping called his 'boss'.",false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
