claim,label,language,translated_claim,output,final_answer,correct,inconclusive
पीएम मोदी की ओर से बीच की सफाई के वक्त कैमरा क्रू की तस्वीर साथ देने से ऐसा संकेत कि ये 'फोटो-ऑप' है,mostly false,hi,"""The presence of a camera crew during PM Modi's mid-cleaning moment suggests that this is a 'photo-op'.""",Final Answer: Mostly True,mostly true,False,False
ছবিতে দেখা যাচ্ছে লকডাউনের সময় এক ব্যক্তি পুলিশকে মারছেন,mostly false,bn,'The picture shows a person hitting a police officer during the lockdown.',Final Answer: False,false,False,False
लॉकडाउन तोड़ने से रोकने पर पुलिसकर्मी की पिटाई का वीडियो.,false,hi,'Video of a policeman being beaten for preventing lockdown violations.',Final Answer: Half True,half true,False,False
चीन में हाईवे पर कोरोना वायरस के मरीज को पकड़ती पुलिस.,half true,hi,'Police catch a coronavirus patient on the highway in China.',Final Answer: True,true,False,False
ভিখারিরা করোনা ভাইরাসে সংক্রামিত অথবা মারা যাচ্ছেন না,false,bn,'The beggars are not getting infected with the coronavirus or dying.',Final Answer: False,false,True,False
ममता बनर्जी ने यह कहते हुए इसरो वैज्ञानिकों की आलोचना की कि जो काम आप नहीं कर सकते उसके लिए प्रयास नहीं करना चाहिए.,mostly false,hi,Mamata Banerjee criticized ISRO scientists by saying that one should not make efforts for work that they cannot do.,Final Answer: False,false,False,False
राजस्थान पुलिस के एक सिपाही द्वारा युवक के साथ बदसलूकी करने का वीडियो,half true,hi,'A video of a Rajasthan police constable misbehaving with a young man.',Final Answer: True,true,False,False
চায়ে লেবু ও বেকিং সোডা মিশিয়ে খাওয়ার কারণে ইজরায়েলে করোনায় কারোর মৃত্যু হয়নি,mostly false,bn,"""No one has died from COVID-19 in Israel due to consuming a mixture of lemon and baking soda in tea.""",Final Answer: True,true,False,False
ਬੀਜੇਪੀ ਸੰਸਦ ਮੈਂਬਰ ਕਿਰਨ ਖੇਰ ਦੀ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ ਜਿਸ ਵਿੱਚ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਕਿਰਨ ਖੇਰ ਨੇ ਬਿਆਨ ਦਿੱਤਾ ਹੈ ਕਿ ਬਲਾਤਕਾਰ ਕਰਨਾ ਸਾਡੀ ਸੰਸਕ੍ਰਿਤੀ ਦੇ ਵਿੱਚ ਹੈ ਅਤੇ ਅਸੀਂ ਇਸ ਨੂੰ ਨਹੀਂ ਰੋਕ ਸਕਦੇ।,false,pa,"'A picture of BJP Member of Parliament Kiran Kher is going viral, in which it is claimed that Kiran Kher has stated that committing rape is part of our culture and we cannot stop it.'",Final Answer: False,false,True,False
ચાણોદ - મલ્હાર ઘાટ નું નયનરમ્ય દ્રશ્ય. નર્મદા નદી પોતાનાં અસલ સ્વરૂપમાં. નમો નમામી નર્મદે🙏🏻,false,gu,'Chandod - A picturesque view of Malhar Ghat. The Narmada River in its original form. Salutations to the Narmada 🙏🏻.',Final Answer: Mostly True,mostly true,False,False
जर्मनीत तीन डोळे असलेले बाळ जन्मल्याचा दावा,false,mr,'Claim of a baby born with three eyes in Germany.',Final Answer: False,false,True,False
नागरिकता संशोधन कानून के विरोध में पोस्टर लिए पुलिसकर्मी,false,hi,'Police officers holding posters in protest against the Citizenship Amendment Act.',Final Answer: Mostly True,mostly true,False,False
फिनलैंड की प्रधानमंत्री ने सप्ताह में चार कार्यदिवस और रोजाना काम के चार घंटे का प्रस्ताव रखा है.,mostly false,hi,The Prime Minister of Finland has proposed a four-day workweek with four hours of work each day.,Final Answer: False,false,False,False
सोशल मीडिया ने दिखाई अपनी ताकत... गुजरात मंत्री का बेटा गिरफ्तार। देश की जाँबाज़ बेटी सुनीता यादव का इस्तीफा ना मंजूर.,half true,gu,"'Social media has shown its power... The son of a Gujarat minister has been arrested. The resignation of the brave daughter of the country, Sunita Yadav, has not been accepted.'",Final Answer: Half True,half true,True,False
असम में नागरिकता कानून के विरोध में प्रदर्शन कर रहीं महिलाओं पर पुरुष पुलिसकर्मी अत्याचार कर रहे हैं.,mostly false,hi,'Male police officers are committing atrocities against women who are protesting against the citizenship law in Assam.',Final Answer: Half True,half true,False,False
কাশ্মীরে পুলিশ গুলি চালাচ্ছে।,mostly false,bn,'The police are firing in Kashmir.',Final Answer: Half True,half true,False,False
औदुंबराच्या फुलाचा फोटो आहे.,half true,mr,There is a photo of the Audumbar flower.,Final Answer: Half True,half true,True,False
এই ছবিতে করোনা আক্রান্ত দিলীপ ঘোষের পাশে কৈলাস বিজয়বর্গীয় ও মুকুল রায়কে পিপিই কিট ও মাস্ক ছাড়া দাঁড়িয়ে থাকতে দেখা যায়,half true,bn,"'In this picture, Kailash Vijayvargiya and Mukul Roy are seen standing next to the corona-infected Dilip Ghosh without PPE kits and masks.'",Final Answer: False,false,False,False
ਕੇਂਦਰੀ ਸੈਕੰਡਰੀ ਸਿੱਖਿਆ ਬੋਰਡ (ਸੀਬੀਐੱਸਈ) ਨੇ ਦਸਵੀਂ ਅਤੇ ਬਾਰ੍ਹਵੀਂ ਕਲਾਸ ਦੇ ਨਤੀਜਿਆਂ ਦਾ ਦੀ ਤਾਰੀਖ਼ ਦਾ ਐਲਾਨ ਕਰ ਦਿੱਤਾ ਹੈ। ਬਾਰ੍ਹਵੀਂ ਕਲਾਸ ਦੇ ਨਤੀਜੇ 11 ਜੁਲਾਈ ਅਤੇ ਦਸਵੀਂ ਕਲਾਸ ਦੇ ਨਤੀਜੇ 13 ਜੁਲਾਈ ਨੂੰ ਐਲਾਨੇ ਜਾਣਗੇ।,false,pa,"The Central Secondary Education Board (CBSE) has announced the dates for the results of the tenth and twelfth classes. The twelfth class results will be announced on July 11, and the tenth class results will be announced on July 13.",Final Answer: False,false,True,False
আর এস এস ‘গার্ড অফ অনার’ দিচ্ছে রানী এলিজাবেথকে।,false,bn,'RSS is giving a 'Guard of Honor' to Queen Elizabeth.',Final Answer: False,false,True,False
ছবিতে দেখতে পাওয়া ব্যক্তিটি আনারসের মধ্যে বোম রেখে কেরালার গর্ভবতী হাতিটিকে খাইয়ে হত্যা করে,mostly false,bn,'The person seen in the picture killed the pregnant elephant in Kerala by feeding it a bomb hidden inside a pineapple.',Final Answer: True,true,False,False
"આનો લાંબા ગાળે ફાયદો થશે, આવા મેસેજ ચાલુ કરી દેવા છે કે વાર છે???",half true,gu,"""This will be beneficial in the long run; should we continue sending such messages or is there a time limit?""",Final Answer: Half True,half true,True,False
70 सालो तक हमे पाकिस्तान का झंडा लहरा कर चिढ़ाया जाता था । कल करांची की रैली में हिंदुस्तान के झंडे लहराये गए,false,gu,"""For 70 years, we were taunted by waving the flag of Pakistan. Yesterday, at the rally in Karachi, the flags of Hindustan were waved.""",Final Answer: Mostly False,mostly false,False,False
कश्मीर में गाय को तिरंगे के ऊपर रखकर काटा गया है.,mostly false,hi,'A cow has been slaughtered while placed on the tricolor in Kashmir.',Final Answer: False,false,False,False
"केरल में एयर इंडिया एक्सप्रेस विमान दुर्घटना में मारे गए कैप्टन दीपक साठे का वीडियो, जिसमें वे मशहूर गाना 'घर से निकलते ही' गा रहे हैं.",half true,hi,"'A video of Captain Deepak Sathe, who died in the Air India Express plane crash in Kerala, in which he is singing the famous song ""Ghar Se Nikalte Hi"".'",Final Answer: True,true,False,False
न्यूजीलैंड में भारतीय संस्कृति की महिमा।,false,gu,The glory of Indian culture in New Zealand.,Final Answer: Mostly True,mostly true,False,False
ननचाकू से टेबल टेनिस खेलते ब्रूस ली की दुर्लभ वीडियो,mostly false,hi,'Rare video of Bruce Lee playing table tennis with nunchaku.',Final Answer: False,false,False,False
दिल्ली में आम आदमी पार्टी की रैली में पैसे देकर दिहाड़ी मजदूरों को लाया गया.,half true,hi,"""Daily wage laborers were brought to the Aam Aadmi Party rally in Delhi by paying them.""",Final Answer: Mostly True,mostly true,False,False
ছবিতে বাবরি হাসপাতালের মডেল চিত্র দেখা যাচ্ছে,mostly false,bn,'The model image of Babri Hospital can be seen in the picture.',Final Answer: False,false,False,False
"યસ બેંક ડૂબવાના કારણે જે 18,238 કર્મચારીઓ નોકરી ગુમાવશે તેમાં 17,000 હિંદુ છે. બોલો જય શ્રીરામ",half true,gu,"'Due to the collapse of Yes Bank, 18,238 employees will lose their jobs, of which 17,000 are Hindus. Say Jai Shri Ram.'",Final Answer: False,false,False,False
"अस्त-व्यस्त हालत में एक पूजास्थल की तस्वीर, जिसके साथ दावा किया जा रहा है कि पंजाब में हिंदुओं की रामलीला पर हमला किया गया.",half true,hi,"'A picture of a place of worship in a disheveled state, along with the claim that an attack was made on the Ramleela of Hindus in Punjab.'",Final Answer: Half True,half true,True,False
"ગંગામાં સ્નાન કરવાથી, યમુના-જળનું આચમન કરવાથી, જ્યારે નર્મદાના માત્ર દર્શનથી પાપ ધોવાઇ જાય છે. લો.... ત્યારે આજે, મધ્યપ્રદેશમાં આવેલા જબલપુર સીટી થી 25 કિલોમીટર દૂર ભેડાઘાટ નામના આરસપહાણના પર્વત પરથી ધોધરૂપે નીચે પડતાં નર્મદા-જળના દર્શન કરો. આ ધોધને કારણે અહીં ધુમ્મસ ઉત્પન્ન થાય છે, જેથી આ ધોધને ધુંઆધાર ધોધ કહે છે.",half true,gu,"""By bathing in the Ganges, performing achaman with Yamuna water, and merely by seeing the Narmada, sins are washed away. So today, come and witness the cascading waters of the Narmada from the mountain called Bhedaghat, located 25 kilometers away from Jabalpur city in Madhya Pradesh. This waterfall creates a mist, which is why it is called the Dhunaadhar waterfall.""",Final Answer: Mostly True,mostly true,False,False
আফ্রিকায় দেখা মিলল নতুন এক প্রাণীর,false,bn,'A new creature has been discovered in Africa.',Final Answer: True,true,False,False
दीपिका पादुकोणने शेतक-यांच्या समर्थनार्थ टी-शर्ट घातला,false,mr,Deepika Padukone wore a T-shirt in support of farmers.,Final Answer: True,true,False,False
बिहार निवडणुकीत भाजप-जेडीयूने दारुच्या बाटल्या वाटण्याची तयारी केली,half true,mr,"'In the Bihar elections, BJP-JDU has prepared to distribute bottles of alcohol.'",Final Answer: False,false,False,False
ছবিতে দেখতে পাওয়া রাস্তাটি উত্তর প্রদেশের বারাণসীর,mostly false,bn,"The road seen in the picture is in Varanasi, Uttar Pradesh.",Final Answer: False,false,False,False
कोई भी यकीन नहीं करेगा कि यह आज से सदियों पहले 1063 ईसवी में बनाया गया था ।,half true,gu,"""No one will believe that it was built centuries ago in the year 1063 AD.""",Final Answer: False,false,False,False
मास्कचा अधिक काळ वापर केल्यास परिणामी व्यक्तीचा मृत्यू होण्याची शक्यता असते.,false,mr,"""Using a mask for an extended period increases the likelihood of a person's death.""",Final Answer: False,false,True,False
हाल ही में दिवंगत गायक एसपी बालासुब्रमण्यम का परिवार अस्पताल का बिल भरने में सक्षम नहीं था. तमिलनाडु सरकार के मना करने के बाद केंद्र सरकार ने मदद की.,false,hi,"'Recently, the family of the late singer S.P. Balasubrahmanyam was unable to pay the hospital bill. After the Tamil Nadu government refused, the central government provided assistance.'",Final Answer: False,false,True,False
"गुजरात मॉडल में रेल की पटरी पर पैदल चलने वाले मजदूरों से हफ्ता वसूल हो रही है, ये कैसा गुजरात मॉडल, #गुजरातरेलवेपुलिस #गुजरात_मॉडल",half true,gu,"""In the Gujarat model, weekly extortion is being collected from laborers walking on the railway tracks. What kind of Gujarat model is this? #GujaratRailwayPolice #Gujarat_Model""",Final Answer: False,false,False,False
"ਚੀਨ ਦੇ ਫੌਜੀਆਂ ਨੇ ਕਿਸ ਤਰਾਂ ਭਾਰਤੀ ਫੌਜੀਆਂ ਤੇ ਕੀਤਾ ਹਮਲਾ, ਵੇਖੋ ਵੀਡੀਓ",half true,pa,"'How Chinese soldiers attacked Indian soldiers, watch the video.'",Final Answer: Half True,half true,True,False
एक वीडियो के साथ कहा जा रहा है कि स्पेन में भारतीयों ने राम मंदिर निर्माण के समर्थन में ढोल-ताशे बजाते हुए जुलूस निकाला.,mostly false,hi,'It is being said with a video that Indians in Spain held a procession playing drums and traditional instruments in support of the construction of the Ram Temple.',Final Answer: Half True,half true,False,False
नरेंद्र मोदी की छोटा राजन के साथ तस्वीर.,false,hi,'A picture of Narendra Modi with Chhota Rajan.',Final Answer: False,false,True,False
श्रीलंकेच्या पंतप्रधानांसोबत बैठकीत तत्कालीन पंतप्रधान मनमोहन सिंह यांच्या एेवजी सोनिया गांधी खुर्चीत बसल्या होत्या,half true,mr,"'During the meeting with the Prime Minister of Sri Lanka, Sonia Gandhi was seated in place of the then Prime Minister Manmohan Singh.'",Final Answer: False,false,False,False
प्रधानमंत्री मोदी जी की इस फोटो को देखकर देश का हर व्यक्ति इनकी तुलना हिटलर से कर रहा है जिसने पूरे विश्व को वर्ल्ड वार मैं झोंक दिया था,half true,gu,"""Seeing this photo of Prime Minister Modi, every person in the country is comparing him to Hitler, who had plunged the entire world into World War I.""",Final Answer: False,false,False,False
सरकार कर्मचारियों की पेंशन 30 फीसदी तक कम करने जा रही है.,mostly false,hi,The government is going to reduce employees' pensions by up to 30 percent.,Final Answer: Half True,half true,False,False
नागपुर पुलिस स्टेशन में मौजूद यह बच्ची घरवालों से बिछड़ गई है.,false,hi,'This girl present at the Nagpur police station has lost her way from her family.',Final Answer: True,true,False,False
पंतप्रधान नरेंद्र मोदी शाळकरी मुलांना तीनचा पाढा म्हणून दाखवू शकले नाहीत,false,mr,'Prime Minister Narendra Modi could not demonstrate the multiplication table of three to school children.',Final Answer: False,false,True,False
১৮ বছর বয়সী মাদার টেরেসাকে এই ছবিতে দেখতে পাওয়া যাচ্ছে,mostly false,bn,'The 18-year-old Mother Teresa can be seen in this picture.',Final Answer: False,false,False,False
কংগ্রেসের সচিন পাইলট বিজেপিতে যোগদান করলেন,mostly false,bn,'Congress's Sachin Pilot has joined the BJP.',Final Answer: False,false,False,False
प्रवासी मजदूरों से राहुल गांधी की मुलाकात प्रायोजित थी. राहुल गांधी के साथ तस्वीर में मौजूद महिला बाद में कार से जाती हुई देखी गई.,mostly false,hi,'Rahul Gandhi's meeting with migrant workers was staged. The woman present in the picture with Rahul Gandhi was later seen leaving in a car.',Final Answer: Half True,half true,False,False
ছবিটি চীনের সৈন্যদের সঙ্গে লড়াই করে কোনোরকমে বেঁচে ফেরা আহত ভারতীয় সৈনিক সুরেন্দ্র সিংহের,half true,bn,"'The image is of Indian soldier Surendra Singh, who survived after fighting against Chinese soldiers.'",Final Answer: False,false,False,False
अमेरिकी राष्ट्रपति डोनाल्ड ट्रंप कोरोना वायरस को हथियार बनाकर अमेरिकियों को बर्बाद करना चाहते थे. इसके विरोध में हजारों लोग सड़क पर उतरे हैं.,mostly false,hi,"'American President Donald Trump wanted to use the coronavirus as a weapon to destroy Americans. In protest, thousands of people have taken to the streets.'",Final Answer: False,false,False,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਇਕ ਜਹਾਜ਼ ਦੇ ਅੰਦਰ ਦੀ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ। ਤਸਵੀਰ ਦੇ ਨਾਲ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ 8600 ਕਰੋੜ ਦੀ ਲਾਗਤ ਨਾਲ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਦੇ ਵਿਮਾਨ ਨੂੰ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।,false,pa,'A picture from inside an airplane is going viral on social media. It is being claimed that the aircraft was prepared at a cost of 8600 crores for Prime Minister Narendra Modi.',Final Answer: False,false,True,False
दुधात भेसळ करणाऱ्या व्यक्तीचा व्हिडीओ मुंबईतील,half true,mr,'A video of a person mixing something in milk from Mumbai.',Final Answer: Half True,half true,True,False
"હાથરસ (ઉત્તરપ્રદેશ) ની એક દીકરી પર ગેંગરેપ થાય, પીડિતા સાથે અકલ્પનિય વ્યવહાર થાય અને છેલ્લે અંતિમ શ્વાસ લીધો ત્યારબાદ અંતિમ સંસ્કારમાં પરિવાર મોઢું પણ ના ભાળે",false,gu,"'A daughter from Hathras (Uttar Pradesh) is gang-raped, the victim is subjected to unimaginable treatment, and finally, after taking her last breath, the family does not even look at her during the last rites.'",Final Answer: Mostly True,mostly true,False,False
ब्रीच कॅंडी रुग्णालयातील डाॅ. शरद उदवाडिया यांचा कोरोना विषयी माहिती देतानाचा व्हिडिओ व्हायरल,false,mr,'A video of Dr. Sharad Udwadia from Breach Candy Hospital providing information about COVID-19 has gone viral.',Final Answer: True,true,False,False
690થી શરૂ થતા બારકોડ સ્ટીકર્સ મેડ ઈન ચાઈનીઝ પ્રોડક્ટ છે અને 890થી શરૂ થતા બારકોડ સ્ટીકર્સ મેડ ઈન ઇન્ડિયા પ્રોડક્ટ છે.,half true,gu,"'Barcodes starting with 690 are products made in China, and barcodes starting with 890 are products made in India.'",Final Answer: Mostly True,mostly true,False,False
অঢেল খাবার নিয়ে বসে রয়েছেন তেজ বাহাদুর।,mostly false,bn,Tej Bahadur is sitting with an abundance of food.,Final Answer: Half True,half true,False,False
স্বরাষ্ট্রমন্ত্রী অমিত শাহের করোনা সংক্রমণ হওয়ায় ভিডিওতে দেখতে পাওয়া লোকেরা তার শবযাত্রা বের করে আনন্দ উদযাপন করছে,mostly false,bn,"""Due to Home Minister Amit Shah's COVID-19 infection, the people seen in the video are celebrating by taking out his funeral procession.""",Final Answer: False,false,False,False
the law of this country is only for poor people,false,gu,The law of this country is only for poor people.,Final Answer: Mostly False,mostly false,False,False
बंगाल में बीजेपी कार्यकर्ताओं की हिंसा करते हुए तस्वीरें.,mostly false,hi,'Pictures of BJP workers engaging in violence in Bengal.',Final Answer: Half True,half true,False,False
নতুন ট্রাফিক আইন চালু হওয়ার পর কি কেন্দ্রীয় মন্ত্রী নিতিন গড়কড়ি বিনা হেলমেটে স্কুটার চালাচ্ছেন,mostly false,bn,'Is Union Minister Nitin Gadkari riding a scooter without a helmet after the new traffic laws were implemented?',Final Answer: False,false,False,False
জলাতঙ্ক রোগ হয়েছে দিলীপ ঘোষের।,half true,bn,Dilip Ghosh has contracted rabies.,Final Answer: False,false,False,False
মৎস্যকন্যা ধরা পড়েছে পূর্ব মেদিনীপুর এর পটুয়া সামুদ্রিক মৎস্য বন্দরে,false,bn,'A mermaid has been caught at the Patua marine fish port in East Medinipur.',Final Answer: False,false,True,False
ভাইরাল এই ছবিটিতে উত্তরপ্রদেশে প্রিয়াঙ্কা গান্ধীর প্রবাসীদের বাড়ী ফেরাতে ব্যবস্থা করা ১০০০ টি বাস দেখা যাচ্ছে,half true,bn,"'In this viral image, 1000 buses arranged by Priyanka Gandhi to bring back expatriates in Uttar Pradesh can be seen.'",Final Answer: False,false,False,False
প্রতিবেদনের এই ছবিতে দেখতে পাওয়া মহিলাটি হলেন গুজরাতের গাঁধীনগরে অষ্টম শ্রেণীর ছাত্রের সাথে পালানো এক শিক্ষিকা,mostly false,bn,"'The woman seen in this report is a teacher who eloped with an eighth-grade student from Gandhinagar, Gujarat.'",Final Answer: True,true,False,False
করোনা ভাইরাস সামাল দেওয়ার জন্য চীন কুড়ি হাজার আক্রান্তকে মেরে ফেলতে চাইছে,false,bn,'China wants to kill twenty thousand infected people to control the coronavirus.',Final Answer: False,false,True,False
जापान में ध्वस्त होने के 24 घंटे के भीतर पुल बनकर तैयार.,mostly false,hi,'The bridge was completed within 24 hours of being destroyed in Japan.',Final Answer: False,false,False,False
तुरटीच्या वापराने कोरोना नष्ट होतो,false,mr,'The use of turmeric destroys the coronavirus.',Final Answer: False,false,True,False
India’s First Animal Bridges In Delhi-Mumbai Expressway To Protect Animals From Getting Hit. thanks PM,false,gu,'India's first animal bridges on the Delhi-Mumbai Expressway to protect animals from being hit. Thanks to the Prime Minister.',Final Answer: True,true,False,False
आगरा में तबरेज अंसारी के समर्थन में निकाले गए जुलूस का वीडियो,mostly false,hi,'Video of the procession held in support of Tabrez Ansari in Agra.',Final Answer: True,true,False,False
कश्मीर को पाकिस्तान का हिस्सा दिखाने वाले मैप के साथ भाषण देते कन्हैया कुमार,false,hi,'Kanhaiya Kumar giving a speech with a map showing Kashmir as part of Pakistan.',Final Answer: False,false,True,False
कोरोना वायरस से संक्रमित कनाडा के प्रधानमंत्री जस्टिन ट्रूडो की पत्नी का वीडियो.,half true,hi,'A video of Canada’s Prime Minister Justin Trudeau's wife who is infected with the coronavirus.',Final Answer: False,false,False,False
अब तक की सबसे गहरे रंग की त्वचा के लिए सूडानी मूल की अमेरिकी मॉडल न्याकिम गैटवेच का नाम गिनीज वर्ल्ड रिकॉर्ड में दर्ज हुआ.,mostly false,hi,"""The American model Nyakim Gatwech of Sudanese origin has been recorded in the Guinness World Records for having the darkest skin to date.""",Final Answer: False,false,False,False
ছবিতে ফেসবুক কর্মী আঁখি দাসকে জাতীয় পতাকার কেককে কাটতে দেখা যাচ্ছে,mostly false,bn,"'In the picture, Facebook employee Ankhi Das is seen cutting a cake shaped like the national flag.'",Final Answer: False,false,False,False
पुलिस लाठी चार्ज का वायरल वीडियो दिल्ली का है.,half true,hi,'The viral video of the police baton charge is from Delhi.',Final Answer: False,false,False,False
"এপ্রিল ২০, ২০২০ তে গুজরাট উপকূলে ভারতের আইএনএস তলয়ারের সাথে পাকিস্তানের পিএনএস ১৮২ এর সংঘাত",mostly false,bn,"""Conflict between India's INS Talwar and Pakistan's PNS 182 off the coast of Gujarat on April 20, 2020.""",Final Answer: False,false,False,False
প্রতিবেদনের এই ছবিতে সম্প্রতি স্ত্রীকে বেতন দিতে স্বামীদের জন্য কেন্দ্রের আইন প্রণয়নের ভাবনাচিন্তার কথা রিপোর্ট করা হয়েছে,half true,bn,'This report discusses the central government's consideration of enacting a law for husbands to pay salaries to their wives.',Final Answer: False,false,False,False
ਬਰਨਾਲਾ ਤੋਂ ਸ਼੍ਰੋਮਣੀ ਅਕਾਲੀ ਦਲ ਦੇ ਨੇਤਾ ਦਵਿੰਦਰ ਸਿੰਘ ਬੀਹਲਾ ਨੇ ਬਿਆਨ ਦਿੰਦਿਆਂ ਕਿਹਾ ਹੈ ਕਿ ਸੁੱਚਾ ਸਿੰਘ ਲੰਗਾਹ ਦੀ ਵਾਪਸੀ ਸ਼੍ਰੋਮਣੀ ਅਕਾਲੀ ਦਲ ਦੇ ਵਰਕਰਾਂ ਚ ਨਵਾਂ ਜੋਸ਼ ਭਰਨ ਦਾ ਦਾ ਕੰਮ ਕਰੇਗੀ।,false,pa,"""While making a statement, Davinder Singh Beehla, a leader of the Shiromani Akali Dal from Barnala, said that the return of Sucha Singh Langah will work to infuse new enthusiasm among the workers of the Shiromani Akali Dal.""",Final Answer: True,true,False,False
"ભાજપના 4 MP, 1 MLA અને 21 અન્ય નેતાઓ TMCમાં જોડાવા જઈ રહ્યા છે.",false,gu,"'4 BJP MPs, 1 MLA, and 21 other leaders are going to join TMC.'",Final Answer: Half True,half true,False,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ ਜਿਸ ਵਿੱਚ ਇੱਕ ਬੱਸ ਦੇ ਉੱਤੇ ਡਾ ਭੀਮ ਰਾਓ ਅੰਬੇਦਕਰ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਪਤਨੀ ਦੀ ਤਸਵੀਰ ਨੂੰ ਦੇਖਿਆ ਜਾ ਸਕਦਾ ਹੈ।ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਅਮਰੀਕਾ ਦੇ ਕੋਲੰਬੀਆ ਵਿਖੇ ਬੱਸ ਤੇ ਸਨਮਾਨ ਵਜੋਂ ਡਾਕਟਰ ਭੀਮ ਰਾਓ ਅੰਬੇਡਕਰ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਪਤਨੀ ਦੀ ਤਸਵੀਰ ਲਗਾਈ ਗਈ ਹੈ।,half true,pa,"'A picture is going viral on social media in which Dr. B.R. Ambedkar and his wife can be seen on a bus. It is being claimed that a picture of Dr. B.R. Ambedkar and his wife has been placed on a bus in Columbia, America, as an honor.'",Final Answer: False,false,False,False
हाल में हुई एक घटना में सूडान में मुसलमानों ने फ्रांस के दूतावास में आग लगा दी.,half true,hi,"'In a recent incident, Muslims in Sudan set fire to the French embassy.'",Final Answer: True,true,False,False
कुछ तो था इनकी बात में,half true,gu,"""There was something in what they said.""",Final Answer: Half True,half true,True,False
अयोध्येतील राम मंदिर भूमीपूजन मंडपाच्या सजावटीचा व्हिडिओ,half true,mr,'Video of the decoration of the Ram Temple ground-breaking ceremony pavilion in Ayodhya.',Final Answer: True,true,False,False
आॅनलाईन क्लास दरम्यान 55 वर्षीय शिक्षकाला विद्यार्थ्यांनी त्रास दिल्याचा व्हिडिओ,false,mr,'Video of a 55-year-old teacher being harassed by students during an online class.',Final Answer: True,true,False,False
લોકડાઉન હોય કે ના હોય : આવનારા છ મહિના ઇન્ડિયન કાઉન્સિલ ઓફ મેડિકલ રિસર્ચ દ્વારા સૂચવેલી આટલી કાળજી તો લેવી જ જોઇએ,half true,gu,"""Whether there is a lockdown or not: we should definitely take this much care as suggested by the Indian Council of Medical Research in the coming six months.""",Final Answer: Mostly True,mostly true,False,False
जस्टिस एस मुरलीधर कांग्रेस सांसद मनीष तिवारी के असिस्टेंट थे. तस्वीर में वो सोनिया गांधी का चुनावी पर्चा भरवा रहे हैं.,mostly false,hi,"'Justice S. Murli Dhar was the assistant to Congress MP Manish Tewari. In the picture, he is filling out Sonia Gandhi's election form.'",Final Answer: False,false,False,False
સમાજવાદી પાર્ટીના પ્રણેતા અને UP ના પૂર્વ મુખ્યમંત્રી મુલાયમસિંહ યાદવ નું ૯૨ વર્ષે નિધન.,false,gu,"'The founder of the Samajwadi Party and former Chief Minister of UP, Mulayam Singh Yadav, has passed away at the age of 92.'",Final Answer: True,true,False,False
ਸ਼ੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਇਕ ਵੀਡੀਓ ਖੂਬ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ। ਵਾਇਰਲ ਹੋ ਰਹੀ ਵੀਡੀਓ ਦੇ ਪਿੱਛੇ ਇਕ ਬਜ਼ੁਰਗ ਨੂੰ ਭਾਜਪਾ ਉਮੀਦਵਾਰ ਦੇ ਗਲੇ ਵਿੱਚ ਜੁੱਤੀਆਂ ਦਾ ਹਾਰ ਪਾਉਂਦੇ ਹੋਏ ਦੇਖਿਆ ਜਾ ਸਕਦਾ ਹੈ। ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਇਹ ਵੀਡੀਓ ਬਿਹਾਰ ਵਿਧਾਨ ਸਭਾ ਚੋਣਾਂ ਦੇ ਦੌਰਾਨ ਦੀ ਹੈ।.,half true,pa,"'A video is going viral on social media. In the viral video, an elderly person can be seen placing a garland of shoes around the neck of a BJP candidate. It is being claimed that this video is from the Bihar Assembly elections.'",Final Answer: False,false,False,False
"एक व्यक्ति ने अपील की है कि उसकी पत्नी और बेटी कोरोना संक्रमित हैं, उनके लिए दुआ करें.",mostly false,hi,"A person has appealed that his wife and daughter are infected with COVID-19, and he asks for prayers for them.",Final Answer: True,true,False,False
"ভিডিওতে দেখা যাচ্ছে, সমরাস্ত্রবাহী ট্রেনটি ভারত ও চীনের সীমানার উদ্দেশ্যে চলেছে",half true,bn,'The video shows that the military transport train is heading towards the border of India and China.',Final Answer: Half True,half true,True,False
